epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,6804.67,0.99279,0.70116,1.00195,0.56519,0.59163,0.56451,0.38951,1.02647,0.94113,1.03106,0.00472,0.00472,0.00472
82,6959.39,0.99943,0.70403,1.0033,0.53874,0.62853,0.56728,0.39268,1.02579,0.93546,1.03103,0.004654,0.004654,0.004654
83,7113.03,0.99094,0.69957,1.00219,0.54126,0.62522,0.56789,0.39202,1.02731,0.93558,1.03288,0.004588,0.004588,0.004588
84,7264.53,0.99277,0.70115,1.00277,0.56581,0.60432,0.57061,0.39438,1.02543,0.92962,1.03277,0.004522,0.004522,0.004522
85,7420.24,0.99116,0.6957,1.00102,0.55297,0.61202,0.56752,0.39138,1.02402,0.92779,1.03315,0.004456,0.004456,0.004456
86,7574.83,0.98807,0.69358,0.9987,0.55652,0.60368,0.56867,0.39329,1.02337,0.92882,1.03428,0.00439,0.00439,0.00439
87,7729.82,0.98387,0.68664,0.99911,0.56696,0.61079,0.5697,0.39327,1.02202,0.93148,1.03338,0.004324,0.004324,0.004324
88,7884.6,0.98275,0.68908,1.00017,0.57689,0.60908,0.5701,0.39572,1.02145,0.93117,1.03332,0.004258,0.004258,0.004258
89,8038.37,0.98001,0.68316,0.99446,0.55874,0.61654,0.5663,0.39321,1.02304,0.93428,1.03325,0.004192,0.004192,0.004192
90,8192.23,0.97823,0.68007,0.99344,0.54528,0.62476,0.56486,0.39292,1.02542,0.94133,1.03397,0.004126,0.004126,0.004126
91,8344.75,0.97912,0.67999,0.99493,0.54754,0.6248,0.56341,0.3916,1.02712,0.94419,1.03514,0.00406,0.00406,0.00406
92,8500.4,0.97322,0.67899,0.99645,0.57912,0.58252,0.56479,0.39225,1.02823,0.9455,1.03488,0.003994,0.003994,0.003994
93,8655.26,0.97339,0.67603,0.99345,0.59184,0.57547,0.56179,0.38817,1.03064,0.94713,1.03585,0.003928,0.003928,0.003928
94,8809.35,0.97054,0.67359,0.99253,0.58496,0.58298,0.56131,0.3879,1.03237,0.94811,1.03656,0.003862,0.003862,0.003862
95,8964.35,0.96638,0.66844,0.99079,0.58327,0.58745,0.56114,0.38647,1.03327,0.95404,1.03658,0.003796,0.003796,0.003796
96,9118.79,0.9668,0.66891,0.99211,0.56119,0.60779,0.55931,0.38645,1.03273,0.95493,1.03657,0.00373,0.00373,0.00373
97,9271.36,0.95715,0.66091,0.98691,0.55227,0.6186,0.55986,0.38636,1.03257,0.95321,1.03713,0.003664,0.003664,0.003664
98,9428.41,0.95612,0.65898,0.9864,0.5619,0.6104,0.55919,0.38506,1.03413,0.95351,1.03742,0.003598,0.003598,0.003598
